Year,Gender,Hispanic,Race,Population,State
2016,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"1,596",Colorado
2016,Male,Hispanic,Two or More Races,"21,397",Colorado
2016,Female,Non Hispanic,White,"1,892,472",Colorado
2016,Female,Non Hispanic,Black or African American,"102,886",Colorado
2016,Female,Non Hispanic,American Indian and Alaska Native,"17,559",Colorado
2016,Female,Non Hispanic,Asian,"94,933",Colorado
2016,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"3,504",Colorado
2016,Female,Non Hispanic,Two or More Races,"61,087",Colorado
2016,Female,Hispanic,White,"512,365",Colorado
2016,Female,Hispanic,Black or African American,"14,401",Colorado
2016,Female,Hispanic,American Indian and Alaska Native,"25,535",Colorado
2016,Female,Hispanic,Asian,"4,556",Colorado
2016,Female,Hispanic,Native Hawaiian and Other Pacific Islander,"1,554",Colorado
2016,Female,Hispanic,Two or More Races,"21,578",Colorado
2017,Male,Non Hispanic,White,"1,922,354",Colorado
2017,Male,Non Hispanic,Black or African American,"120,680",Colorado
2017,Male,Non Hispanic,American Indian and Alaska Native,"18,190",Colorado
2017,Male,Non Hispanic,Asian,"82,723",Colorado
2017,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"3,801",Colorado
2017,Male,Non Hispanic,Two or More Races,"62,634",Colorado
2017,Male,Hispanic,White,"544,388",Colorado
2017,Male,Hispanic,Black or African American,"14,686",Colorado
2017,Male,Hispanic,American Indian and Alaska Native,"27,499",Colorado
2017,Male,Hispanic,Asian,"4,755",Colorado
2017,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"1,618",Colorado
2017,Male,Hispanic,Two or More Races,"21,917",Colorado
2017,Female,Non Hispanic,White,"1,908,176",Colorado
2017,Female,Non Hispanic,Black or African American,"104,249",Colorado
2017,Female,Non Hispanic,American Indian and Alaska Native,"17,838",Colorado
2017,Female,Non Hispanic,Asian,"97,723",Colorado
2017,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"3,565",Colorado
2017,Female,Non Hispanic,Two or More Races,"63,199",Colorado
2017,Female,Hispanic,White,"522,946",Colorado
2017,Female,Hispanic,Black or African American,"14,621",Colorado
2017,Female,Hispanic,American Indian and Alaska Native,"26,063",Colorado
2017,Female,Hispanic,Asian,"4,712",Colorado
2017,Female,Hispanic,Native Hawaiian and Other Pacific Islander,"1,562",Colorado
2017,Female,Hispanic,Two or More Races,"21,986",Colorado
2018,Male,Non Hispanic,White,"1,940,533",Colorado
2018,Male,Non Hispanic,Black or African American,"123,203",Colorado
2018,Male,Non Hispanic,American Indian and Alaska Native,"18,586",Colorado
2018,Male,Non Hispanic,Asian,"86,051",Colorado
2018,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"3,927",Colorado
2018,Male,Non Hispanic,Two or More Races,"64,946",Colorado
2018,Male,Hispanic,White,"556,193",Colorado
2018,Male,Hispanic,Black or African American,"15,125",Colorado
2018,Male,Hispanic,American Indian and Alaska Native,"27,996",Colorado
2018,Male,Hispanic,Asian,"4,901",Colorado
2018,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"1,670",Colorado
2018,Male,Hispanic,Two or More Races,"22,630",Colorado
2018,Female,Non Hispanic,White,"1,925,650",Colorado
2018,Female,Non Hispanic,Black or African American,"106,410",Colorado
2018,Female,Non Hispanic,American Indian and Alaska Native,"18,214",Colorado
2018,Female,Non Hispanic,Asian,"100,930",Colorado
2018,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"3,694",Colorado
2018,Female,Non Hispanic,Two or More Races,"65,395",Colorado
2018,Female,Hispanic,White,"534,555",Colorado
2018,Female,Hispanic,Black or African American,"15,068",Colorado
2018,Female,Hispanic,American Indian and Alaska Native,"26,648",Colorado
2018,Female,Hispanic,Asian,"4,797",Colorado
2018,Female,Hispanic,Native Hawaiian and Other Pacific Islander,"1,585",Colorado
2018,Female,Hispanic,Two or More Races,"22,580",Colorado
2019,Male,Non Hispanic,White,"1,956,939",Colorado
2019,Male,Non Hispanic,Black or African American,"125,474",Colorado
2019,Male,Non Hispanic,American Indian and Alaska Native,"18,835",Colorado
2019,Male,Non Hispanic,Asian,"88,795",Colorado
2019,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"4,079",Colorado
2019,Male,Non Hispanic,Two or More Races,"66,968",Colorado
2019,Male,Hispanic,White,"566,176",Colorado
2019,Male,Hispanic,Black or African American,"15,580",Colorado
2019,Male,Hispanic,American Indian and Alaska Native,"28,496",Colorado
2019,Male,Hispanic,Asian,"5,013",Colorado
2019,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"1,718",Colorado
2019,Male,Hispanic,Two or More Races,"23,275",Colorado
2019,Female,Non Hispanic,White,"1,939,164",Colorado
2019,Female,Non Hispanic,Black or African American,"108,049",Colorado
2019,Female,Non Hispanic,American Indian and Alaska Native,"18,478",Colorado
2019,Female,Non Hispanic,Asian,"103,938",Colorado
2019,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"3,896",Colorado
2019,Female,Non Hispanic,Two or More Races,"67,217",Colorado
2019,Female,Hispanic,White,"544,333",Colorado
2019,Female,Hispanic,Black or African American,"15,376",Colorado
2019,Female,Hispanic,American Indian and Alaska Native,"27,173",Colorado
2019,Female,Hispanic,Asian,"4,918",Colorado
2019,Female,Hispanic,Native Hawaiian and Other Pacific Islander,"1,636",Colorado
2019,Female,Hispanic,Two or More Races,"23,210",Colorado
2010,Male,Non Hispanic,White,"4,924,498",Pennsylvania
2010,Male,Non Hispanic,Black or African American,"637,245",Pennsylvania
2010,Male,Non Hispanic,American Indian and Alaska Native,"8,481",Pennsylvania
2010,Male,Non Hispanic,Asian,"170,668",Pennsylvania
2010,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,429",Pennsylvania
2010,Male,Non Hispanic,Two or More Races,"82,450",Pennsylvania
2010,Male,Hispanic,White,"287,960",Pennsylvania
2010,Male,Hispanic,Black or African American,"49,258",Pennsylvania
2010,Male,Hispanic,American Indian and Alaska Native,"11,838",Pennsylvania
2010,Male,Hispanic,Asian,"3,530",Pennsylvania
2010,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"2,124",Pennsylvania
2010,Male,Hispanic,Two or More Races,"16,498",Pennsylvania
2010,Female,Non Hispanic,White,"5,180,277",Pennsylvania
2010,Female,Non Hispanic,Black or African American,"698,140",Pennsylvania
2010,Female,Non Hispanic,American Indian and Alaska Native,"8,741",Pennsylvania
2010,Female,Non Hispanic,Asian,"183,606",Pennsylvania
2010,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,491",Pennsylvania
2010,Female,Non Hispanic,Two or More Races,"87,870",Pennsylvania
2010,Female,Hispanic,White,"271,314",Pennsylvania
2010,Female,Hispanic,Black or African American,"50,406",Pennsylvania
2010,Female,Hispanic,American Indian and Alaska Native,"11,022",Pennsylvania
2010,Female,Hispanic,Asian,"3,339",Pennsylvania
2010,Female,Hispanic,Native Hawaiian and Other Pacific Islander,"2,133",Pennsylvania
2010,Female,Hispanic,Two or More Races,"16,842",Pennsylvania
2011,Male,Non Hispanic,White,"4,915,739",Pennsylvania
2011,Male,Non Hispanic,Black or African American,"642,593",Pennsylvania
2011,Male,Non Hispanic,American Indian and Alaska Native,"8,614",Pennsylvania
2011,Male,Non Hispanic,Asian,"177,108",Pennsylvania
2011,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,494",Pennsylvania
2011,Male,Non Hispanic,Two or More Races,"85,655",Pennsylvania
2011,Male,Hispanic,White,"298,668",Pennsylvania
2011,Male,Hispanic,Black or African American,"52,117",Pennsylvania
2011,Male,Hispanic,American Indian and Alaska Native,"12,381",Pennsylvania
2011,Male,Hispanic,Asian,"3,719",Pennsylvania
2011,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"2,217",Pennsylvania
2011,Male,Hispanic,Two or More Races,"17,359",Pennsylvania
2011,Female,Non Hispanic,White,"5,162,634",Pennsylvania
2011,Female,Non Hispanic,Black or African American,"702,990",Pennsylvania
2011,Female,Non Hispanic,American Indian and Alaska Native,"8,874",Pennsylvania
2011,Female,Non Hispanic,Asian,"191,097",Pennsylvania
2011,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,598",Pennsylvania
2011,Female,Non Hispanic,Two or More Races,"90,972",Pennsylvania
2011,Female,Hispanic,White,"281,947",Pennsylvania
2011,Female,Hispanic,Black or African American,"53,009",Pennsylvania
2011,Female,Hispanic,American Indian and Alaska Native,"11,433",Pennsylvania
2011,Female,Hispanic,Asian,"3,579",Pennsylvania
2011,Female,Hispanic,Native Hawaiian and Other Pacific Islander,"2,223",Pennsylvania
2011,Female,Hispanic,Two or More Races,"17,795",Pennsylvania
2012,Male,Non Hispanic,White,"4,902,526",Pennsylvania
2012,Male,Non Hispanic,Black or African American,"648,339",Pennsylvania
2012,Male,Non Hispanic,American Indian and Alaska Native,"8,731",Pennsylvania
2012,Male,Non Hispanic,Asian,"183,308",Pennsylvania
2012,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,560",Pennsylvania
2012,Male,Non Hispanic,Two or More Races,"88,628",Pennsylvania
2012,Male,Hispanic,White,"309,353",Pennsylvania
2012,Male,Hispanic,Black or African American,"54,941",Pennsylvania
2012,Male,Hispanic,American Indian and Alaska Native,"12,908",Pennsylvania
2012,Male,Hispanic,Asian,"3,886",Pennsylvania
2012,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"2,284",Pennsylvania
2012,Male,Hispanic,Two or More Races,"18,196",Pennsylvania
2012,Female,Non Hispanic,White,"5,139,576",Pennsylvania
2012,Female,Non Hispanic,Black or African American,"706,263",Pennsylvania
2012,Female,Non Hispanic,American Indian and Alaska Native,"8,915",Pennsylvania
2012,Female,Non Hispanic,Asian,"197,779",Pennsylvania
2012,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,654",Pennsylvania
2012,Female,Non Hispanic,Two or More Races,"93,871",Pennsylvania
2012,Female,Hispanic,White,"292,211",Pennsylvania
2012,Female,Hispanic,Black or African American,"55,628",Pennsylvania
2012,Female,Hispanic,American Indian and Alaska Native,"11,874",Pennsylvania
2012,Female,Hispanic,Asian,"3,786",Pennsylvania
2012,Female,Hispanic,Native Hawaiian and Other Pacific Islander,"2,306",Pennsylvania
2012,Female,Hispanic,Two or More Races,"18,595",Pennsylvania
2013,Male,Non Hispanic,White,"4,885,709",Pennsylvania
2013,Male,Non Hispanic,Black or African American,"653,271",Pennsylvania
2013,Male,Non Hispanic,American Indian and Alaska Native,"8,798",Pennsylvania
2013,Male,Non Hispanic,Asian,"189,753",Pennsylvania
2013,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,645",Pennsylvania
2013,Male,Non Hispanic,Two or More Races,"91,827",Pennsylvania
2013,Male,Hispanic,White,"317,873",Pennsylvania
2013,Male,Hispanic,Black or African American,"57,399",Pennsylvania
2013,Male,Hispanic,American Indian and Alaska Native,"13,392",Pennsylvania
2013,Male,Hispanic,Asian,"4,047",Pennsylvania
2013,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"2,366",Pennsylvania
2013,Male,Hispanic,Two or More Races,"19,057",Pennsylvania
2013,Female,Non Hispanic,White,"5,112,470",Pennsylvania
2013,Female,Non Hispanic,Black or African American,"709,197",Pennsylvania
2013,Female,Non Hispanic,American Indian and Alaska Native,"9,036",Pennsylvania
2013,Female,Non Hispanic,Asian,"204,982",Pennsylvania
2013,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,760",Pennsylvania
2013,Female,Non Hispanic,Two or More Races,"96,819",Pennsylvania
2013,Female,Hispanic,White,"300,481",Pennsylvania
2013,Female,Hispanic,Black or African American,"58,103",Pennsylvania
2013,Female,Hispanic,American Indian and Alaska Native,"12,416",Pennsylvania
2013,Female,Hispanic,Asian,"3,977",Pennsylvania
2013,Female,Hispanic,Native Hawaiian and Other Pacific Islander,"2,397",Pennsylvania
2013,Female,Hispanic,Two or More Races,"19,534",Pennsylvania
2014,Male,Non Hispanic,White,"4,866,673",Pennsylvania
2014,Male,Non Hispanic,Black or African American,"656,646",Pennsylvania
2014,Male,Non Hispanic,American Indian and Alaska Native,"8,875",Pennsylvania
2014,Male,Non Hispanic,Asian,"196,592",Pennsylvania
2014,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,723",Pennsylvania
2014,Male,Non Hispanic,Two or More Races,"94,584",Pennsylvania
2014,Male,Hispanic,White,"327,930",Pennsylvania
2014,Male,Hispanic,Black or African American,"59,868",Pennsylvania
2014,Male,Hispanic,American Indian and Alaska Native,"13,897",Pennsylvania
2014,Male,Hispanic,Asian,"4,290",Pennsylvania
2014,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"2,448",Pennsylvania
2014,Male,Hispanic,Two or More Races,"20,078",Pennsylvania
2014,Female,Non Hispanic,White,"5,088,055",Pennsylvania
2014,Female,Non Hispanic,Black or African American,"712,024",Pennsylvania
2014,Female,Non Hispanic,American Indian and Alaska Native,"9,076",Pennsylvania
2014,Female,Non Hispanic,Asian,"212,718",Pennsylvania
2014,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,861",Pennsylvania
2014,Female,Non Hispanic,Two or More Races,"99,490",Pennsylvania
2014,Female,Hispanic,White,"310,837",Pennsylvania
2014,Female,Hispanic,Black or African American,"60,552",Pennsylvania
2014,Female,Hispanic,American Indian and Alaska Native,"12,825",Pennsylvania
2014,Female,Hispanic,Asian,"4,246",Pennsylvania
2014,Female,Hispanic,Native Hawaiian and Other Pacific Islander,"2,492",Pennsylvania
2014,Female,Hispanic,Two or More Races,"20,533",Pennsylvania
2015,Male,Non Hispanic,White,"4,843,324",Pennsylvania
2015,Male,Non Hispanic,Black or African American,"659,740",Pennsylvania
2015,Male,Non Hispanic,American Indian and Alaska Native,"9,007",Pennsylvania
2015,Male,Non Hispanic,Asian,"202,267",Pennsylvania
2015,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,787",Pennsylvania
2015,Male,Non Hispanic,Two or More Races,"97,374",Pennsylvania
2015,Male,Hispanic,White,"338,057",Pennsylvania
2015,Male,Hispanic,Black or African American,"62,169",Pennsylvania
2015,Male,Hispanic,American Indian and Alaska Native,"14,342",Pennsylvania
2015,Male,Hispanic,Asian,"4,450",Pennsylvania
2015,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"2,605",Pennsylvania
2015,Male,Hispanic,Two or More Races,"21,228",Pennsylvania
2015,Female,Non Hispanic,White,"5,057,441",Pennsylvania
2015,Female,Non Hispanic,Black or African American,"713,430",Pennsylvania
2015,Female,Non Hispanic,American Indian and Alaska Native,"9,176",Pennsylvania
2015,Female,Non Hispanic,Asian,"218,756",Pennsylvania
2015,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,907",Pennsylvania
2015,Female,Non Hispanic,Two or More Races,"102,075",Pennsylvania
2015,Female,Hispanic,White,"320,801",Pennsylvania
2015,Female,Hispanic,Black or African American,"62,866",Pennsylvania
2015,Female,Hispanic,American Indian and Alaska Native,"13,359",Pennsylvania
2015,Female,Hispanic,Asian,"4,465",Pennsylvania
2015,Female,Hispanic,Native Hawaiian and Other Pacific Islander,"2,584",Pennsylvania
2015,Female,Hispanic,Two or More Races,"21,616",Pennsylvania
2016,Male,Non Hispanic,White,"4,816,376",Pennsylvania
2016,Male,Non Hispanic,Black or African American,"663,338",Pennsylvania
2016,Male,Non Hispanic,American Indian and Alaska Native,"9,125",Pennsylvania
2016,Male,Non Hispanic,Asian,"208,887",Pennsylvania
2016,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,786",Pennsylvania
2016,Male,Non Hispanic,Two or More Races,"99,839",Pennsylvania
2016,Male,Hispanic,White,"349,198",Pennsylvania
2016,Male,Hispanic,Black or African American,"64,786",Pennsylvania
2016,Male,Hispanic,American Indian and Alaska Native,"14,923",Pennsylvania
2016,Male,Hispanic,Asian,"4,671",Pennsylvania
2016,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"2,715",Pennsylvania
2016,Male,Hispanic,Two or More Races,"22,664",Pennsylvania
2016,Female,Non Hispanic,White,"5,026,090",Pennsylvania
2016,Female,Non Hispanic,Black or African American,"715,662",Pennsylvania
2016,Female,Non Hispanic,American Indian and Alaska Native,"9,293",Pennsylvania
2016,Female,Non Hispanic,Asian,"225,315",Pennsylvania
2016,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,934",Pennsylvania
2016,Female,Non Hispanic,Two or More Races,"104,514",Pennsylvania
2016,Female,Hispanic,White,"331,631",Pennsylvania
2016,Female,Hispanic,Black or African American,"65,314",Pennsylvania
2016,Female,Hispanic,American Indian and Alaska Native,"13,925",Pennsylvania
2016,Female,Hispanic,Asian,"4,703",Pennsylvania
2016,Female,Hispanic,Native Hawaiian and Other Pacific Islander,"2,701",Pennsylvania
2016,Female,Hispanic,Two or More Races,"22,885",Pennsylvania
2017,Male,Non Hispanic,White,"4,791,844",Pennsylvania
2017,Male,Non Hispanic,Black or African American,"665,953",Pennsylvania
2017,Male,Non Hispanic,American Indian and Alaska Native,"9,183",Pennsylvania
2017,Male,Non Hispanic,Asian,"215,516",Pennsylvania
2017,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,834",Pennsylvania
2017,Male,Non Hispanic,Two or More Races,"102,165",Pennsylvania
2017,Male,Hispanic,White,"361,077",Pennsylvania
2017,Male,Hispanic,Black or African American,"67,333",Pennsylvania
2017,Male,Hispanic,American Indian and Alaska Native,"15,422",Pennsylvania
2017,Male,Hispanic,Asian,"4,825",Pennsylvania
2017,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"2,796",Pennsylvania
2017,Male,Hispanic,Two or More Races,"24,010",Pennsylvania
2017,Female,Non Hispanic,White,"4,997,883",Pennsylvania
2017,Female,Non Hispanic,Black or African American,"718,644",Pennsylvania
2017,Female,Non Hispanic,American Indian and Alaska Native,"9,388",Pennsylvania
2017,Female,Non Hispanic,Asian,"232,022",Pennsylvania
2017,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,985",Pennsylvania
2017,Female,Non Hispanic,Two or More Races,"107,178",Pennsylvania
2017,Female,Hispanic,White,"344,226",Pennsylvania
2017,Female,Hispanic,Black or African American,"67,979",Pennsylvania
2017,Female,Hispanic,American Indian and Alaska Native,"14,429",Pennsylvania
2017,Female,Hispanic,Asian,"4,907",Pennsylvania
2017,Female,Hispanic,Native Hawaiian and Other Pacific Islander,"2,820",Pennsylvania
2017,Female,Hispanic,Two or More Races,"24,222",Pennsylvania
2018,Male,Non Hispanic,White,"4,769,435",Pennsylvania
2018,Male,Non Hispanic,Black or African American,"669,139",Pennsylvania
2018,Male,Non Hispanic,American Indian and Alaska Native,"9,291",Pennsylvania
2018,Male,Non Hispanic,Asian,"221,649",Pennsylvania
2018,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,886",Pennsylvania
2018,Male,Non Hispanic,Two or More Races,"104,767",Pennsylvania
2018,Male,Hispanic,White,"375,789",Pennsylvania
2018,Male,Hispanic,Black or African American,"70,233",Pennsylvania
2018,Male,Hispanic,American Indian and Alaska Native,"15,933",Pennsylvania
2018,Male,Hispanic,Asian,"4,964",Pennsylvania
2018,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"2,898",Pennsylvania
2018,Male,Hispanic,Two or More Races,"25,557",Pennsylvania
2018,Female,Non Hispanic,White,"4,971,215",Pennsylvania
2018,Female,Non Hispanic,Black or African American,"721,083",Pennsylvania
2018,Female,Non Hispanic,American Indian and Alaska Native,"9,443",Pennsylvania
2018,Female,Non Hispanic,Asian,"237,792",Pennsylvania
2018,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"2,049",Pennsylvania
2018,Female,Non Hispanic,Two or More Races,"109,512",Pennsylvania
2018,Female,Hispanic,White,"358,890",Pennsylvania
2018,Female,Hispanic,Black or African American,"70,818",Pennsylvania
2018,Female,Hispanic,American Indian and Alaska Native,"15,011",Pennsylvania
2018,Female,Hispanic,Asian,"5,077",Pennsylvania
2018,Female,Hispanic,Native Hawaiian and Other Pacific Islander,"2,947",Pennsylvania
2018,Female,Hispanic,Two or More Races,"25,544",Pennsylvania
2019,Male,Non Hispanic,White,"4,748,155",Pennsylvania
2019,Male,Non Hispanic,Black or African American,"671,718",Pennsylvania
2019,Male,Non Hispanic,American Indian and Alaska Native,"9,352",Pennsylvania
2019,Male,Non Hispanic,Asian,"227,757",Pennsylvania
2019,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,883",Pennsylvania
2019,Male,Non Hispanic,Two or More Races,"107,313",Pennsylvania
2019,Male,Hispanic,White,"384,881",Pennsylvania
2019,Male,Hispanic,Black or African American,"72,390",Pennsylvania
2019,Male,Hispanic,American Indian and Alaska Native,"16,348",Pennsylvania
2019,Male,Hispanic,Asian,"5,091",Pennsylvania
2019,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"2,994",Pennsylvania
2019,Male,Hispanic,Two or More Races,"26,479",Pennsylvania
2019,Female,Non Hispanic,White,"4,945,423",Pennsylvania
2019,Female,Non Hispanic,Black or African American,"722,912",Pennsylvania
2019,Female,Non Hispanic,American Indian and Alaska Native,"9,494",Pennsylvania
2019,Female,Non Hispanic,Asian,"243,802",Pennsylvania
2019,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"2,053",Pennsylvania
2019,Female,Non Hispanic,Two or More Races,"111,977",Pennsylvania
2019,Female,Hispanic,White,"368,603",Pennsylvania
2019,Female,Hispanic,Black or African American,"73,072",Pennsylvania
2019,Female,Hispanic,American Indian and Alaska Native,"15,493",Pennsylvania
2019,Female,Hispanic,Asian,"5,227",Pennsylvania
2019,Female,Hispanic,Native Hawaiian and Other Pacific Islander,"3,064",Pennsylvania
2019,Female,Hispanic,Two or More Races,"26,508",Pennsylvania
2010,Male,Non Hispanic,White,"4,583,203",Ohio
2010,Male,Non Hispanic,Black or African American,"664,703",Ohio
2010,Male,Non Hispanic,American Indian and Alaska Native,"10,659",Ohio
2010,Male,Non Hispanic,Asian,"93,362",Ohio
2010,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,742",Ohio
2010,Male,Non Hispanic,Two or More Races,"96,432",Ohio
2010,Male,Hispanic,White,"152,470",Ohio
2010,Male,Hispanic,Black or African American,"15,808",Ohio
2010,Male,Hispanic,American Indian and Alaska Native,"4,645",Ohio
2010,Male,Hispanic,Asian,"1,473",Ohio
2010,Male,Hispanic,Native Hawaiian and Other Pacific Islander,991,Ohio
2010,Male,Hispanic,Two or More Races,"8,610",Ohio
2010,Female,Non Hispanic,White,"4,785,707",Ohio
2010,Female,Non Hispanic,Black or African American,"731,373",Ohio
2010,Female,Non Hispanic,American Indian and Alaska Native,"10,521",Ohio
2010,Female,Non Hispanic,Asian,"101,989",Ohio
2010,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,798",Ohio
2010,Female,Non Hispanic,Two or More Races,"100,881",Ohio
2010,Female,Hispanic,White,"141,193",Ohio
2010,Female,Hispanic,Black or African American,"16,523",Ohio
2010,Female,Hispanic,American Indian and Alaska Native,"3,961",Ohio
2010,Female,Hispanic,Asian,"1,470",Ohio
2010,Female,Hispanic,Native Hawaiian and Other Pacific Islander,810,Ohio
2010,Female,Hispanic,Two or More Races,"9,012",Ohio
2011,Male,Non Hispanic,White,"4,573,643",Ohio
2011,Male,Non Hispanic,Black or African American,"667,620",Ohio
2011,Male,Non Hispanic,American Indian and Alaska Native,"10,732",Ohio
2011,Male,Non Hispanic,Asian,"96,673",Ohio
2011,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,792",Ohio
2011,Male,Non Hispanic,Two or More Races,"99,332",Ohio
2011,Male,Hispanic,White,"156,676",Ohio
2011,Male,Hispanic,Black or African American,"16,419",Ohio
2011,Male,Hispanic,American Indian and Alaska Native,"4,752",Ohio
2011,Male,Hispanic,Asian,"1,526",Ohio
2011,Male,Hispanic,Native Hawaiian and Other Pacific Islander,983,Ohio
2011,Male,Hispanic,Two or More Races,"9,035",Ohio
2011,Female,Non Hispanic,White,"4,771,366",Ohio
2011,Female,Non Hispanic,Black or African American,"734,280",Ohio
2011,Female,Non Hispanic,American Indian and Alaska Native,"10,653",Ohio
2011,Female,Non Hispanic,Asian,"105,391",Ohio
2011,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,825",Ohio
2011,Female,Non Hispanic,Two or More Races,"103,585",Ohio
2011,Female,Hispanic,White,"145,554",Ohio
2011,Female,Hispanic,Black or African American,"17,040",Ohio
2011,Female,Hispanic,American Indian and Alaska Native,"4,053",Ohio
2011,Female,Hispanic,Asian,"1,564",Ohio
2011,Female,Hispanic,Native Hawaiian and Other Pacific Islander,827,Ohio
2011,Female,Hispanic,Two or More Races,"9,342",Ohio
2012,Male,Non Hispanic,White,"4,563,994",Ohio
2012,Male,Non Hispanic,Black or African American,"671,528",Ohio
2012,Male,Non Hispanic,American Indian and Alaska Native,"10,799",Ohio
2012,Male,Non Hispanic,Asian,"100,696",Ohio
2012,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,826",Ohio
2012,Male,Non Hispanic,Two or More Races,"102,019",Ohio
2012,Male,Hispanic,White,"161,000",Ohio
2012,Male,Hispanic,Black or African American,"16,996",Ohio
2012,Male,Hispanic,American Indian and Alaska Native,"4,866",Ohio
2012,Male,Hispanic,Asian,"1,570",Ohio
2012,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"1,030",Ohio
2012,Male,Hispanic,Two or More Races,"9,481",Ohio
2012,Female,Non Hispanic,White,"4,754,055",Ohio
2012,Female,Non Hispanic,Black or African American,"736,945",Ohio
2012,Female,Non Hispanic,American Indian and Alaska Native,"10,721",Ohio
2012,Female,Non Hispanic,Asian,"109,715",Ohio
2012,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,844",Ohio
2012,Female,Non Hispanic,Two or More Races,"106,049",Ohio
2012,Female,Hispanic,White,"149,963",Ohio
2012,Female,Hispanic,Black or African American,"17,592",Ohio
2012,Female,Hispanic,American Indian and Alaska Native,"4,143",Ohio
2012,Female,Hispanic,Asian,"1,592",Ohio
2012,Female,Hispanic,Native Hawaiian and Other Pacific Islander,851,Ohio
2012,Female,Hispanic,Two or More Races,"9,648",Ohio
2013,Male,Non Hispanic,White,"4,560,149",Ohio
2013,Male,Non Hispanic,Black or African American,"677,539",Ohio
2013,Male,Non Hispanic,American Indian and Alaska Native,"10,953",Ohio
2013,Male,Non Hispanic,Asian,"106,440",Ohio
2013,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,866",Ohio
2013,Male,Non Hispanic,Two or More Races,"105,471",Ohio
2013,Male,Hispanic,White,"165,795",Ohio
2013,Male,Hispanic,Black or African American,"17,698",Ohio
2013,Male,Hispanic,American Indian and Alaska Native,"5,055",Ohio
2013,Male,Hispanic,Asian,"1,656",Ohio
2013,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"1,085",Ohio
2013,Male,Hispanic,Two or More Races,"9,890",Ohio
2013,Female,Non Hispanic,White,"4,742,683",Ohio
2013,Female,Non Hispanic,Black or African American,"742,458",Ohio
2013,Female,Non Hispanic,American Indian and Alaska Native,"10,884",Ohio
2013,Female,Non Hispanic,Asian,"115,909",Ohio
2013,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"1,905",Ohio
2013,Female,Non Hispanic,Two or More Races,"109,278",Ohio
2013,Female,Hispanic,White,"154,940",Ohio
2013,Female,Hispanic,Black or African American,"18,281",Ohio
2013,Female,Hispanic,American Indian and Alaska Native,"4,280",Ohio
2013,Female,Hispanic,Asian,"1,679",Ohio
2013,Female,Hispanic,Native Hawaiian and Other Pacific Islander,887,Ohio
